date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1997-02-14,Cyprus,2,0,Latvia,False,,,Cyprus International Tournament,1997
1997-02-14,Lithuania,0,0,Poland,True,,,Cyprus International Tournament,1997
1997-02-15,Cyprus,2,3,Poland,False,,,Cyprus International Tournament,1997
1997-02-15,Latvia,1,0,Lithuania,True,,,Cyprus International Tournament,1997
1997-02-17,Cyprus,1,0,Lithuania,False,,,Cyprus International Tournament,1997
1997-02-17,Latvia,2,3,Poland,True,,,Cyprus International Tournament,1997
1998-02-05,Cyprus,1,1,Finland,False,,,Cyprus International Tournament,1998
1998-02-05,Iceland,2,3,Slovenia,True,,,Cyprus International Tournament,1998
1998-02-06,Slovenia,1,1,Slovakia,True,,,Cyprus International Tournament,1998
1998-02-07,Iceland,1,2,Slovakia,True,,,Cyprus International Tournament,1998
1998-02-09,Cyprus,1,0,Slovenia,False,,,Cyprus International Tournament,1998
1998-02-09,Finland,0,2,Slovakia,True,,,Cyprus International Tournament,1998
1999-02-03,Cyprus,0,1,Belgium,False,,,Cyprus International Tournament,1999
1999-02-03,Greece,2,1,Finland,True,,,Cyprus International Tournament,1999
1999-02-05,Cyprus,2,1,Finland,False,,,Cyprus International Tournament,1999
1999-02-05,Greece,1,0,Belgium,True,,,Cyprus International Tournament,1999
2000-02-02,Armenia,2,1,Moldova,True,,,Cyprus International Tournament,2000
2000-02-02,Cyprus,2,1,Lithuania,False,,,Cyprus International Tournament,2000
2000-02-02,Romania,2,0,Latvia,True,,,Cyprus International Tournament,2000
2000-02-04,Cyprus,3,2,Armenia,False,,,Cyprus International Tournament,2000
2000-02-04,Moldova,2,1,Lithuania,True,,,Cyprus International Tournament,2000
2000-02-04,Romania,1,1,Georgia,True,,,Cyprus International Tournament,2000
2000-02-06,Cyprus,3,2,Romania,False,,,Cyprus International Tournament,2000
2000-02-06,Georgia,2,1,Armenia,True,,,Cyprus International Tournament,2000
2000-02-06,Latvia,1,2,Lithuania,True,,,Cyprus International Tournament,2000
2001-02-26,Cyprus,1,2,Lithuania,False,,,Cyprus International Tournament,2001
2001-02-26,Romania,1,0,Ukraine,True,,,Cyprus International Tournament,2001
2001-02-28,Cyprus,4,3,Ukraine,False,,,Cyprus International Tournament,2001
2001-02-28,Lithuania,0,3,Romania,True,,,Cyprus International Tournament,2001
2002-02-12,Cyprus,1,1,Switzerland,False,,,Cyprus International Tournament,2002
2002-02-12,Czech Republic,2,0,Hungary,True,,,Cyprus International Tournament,2002
2002-02-13,Cyprus,3,4,Czech Republic,False,,,Cyprus International Tournament,2002
2002-02-13,Switzerland,2,1,Hungary,True,,,Cyprus International Tournament,2002
2003-02-12,Cyprus,0,1,Russia,False,,,Cyprus International Tournament,2003
2003-02-12,Romania,2,1,Slovakia,True,,,Cyprus International Tournament,2003
2003-02-13,Cyprus,1,3,Slovakia,False,,,Cyprus International Tournament,2003
2004-02-18,Cyprus,0,2,Belarus,False,,,Cyprus International Tournament,2004
2004-02-18,Hungary,2,0,Armenia,True,,,Cyprus International Tournament,2004
2004-02-18,Latvia,3,1,Kazakhstan,True,,,Cyprus International Tournament,2004
2004-02-18,Romania,3,0,Georgia,True,,,Cyprus International Tournament,2004
2004-02-19,Cyprus,3,1,Georgia,False,,,Cyprus International Tournament,2004
2004-02-19,Kazakhstan,3,3,Armenia,True,,,Cyprus International Tournament,2004
2004-02-19,Latvia,1,2,Hungary,True,,,Cyprus International Tournament,2004
2004-02-21,Belarus,4,1,Latvia,True,,,Cyprus International Tournament,2004
2004-02-21,Cyprus,2,1,Kazakhstan,False,,,Cyprus International Tournament,2004
2004-02-21,Georgia,0,2,Armenia,True,,,Cyprus International Tournament,2004
2005-02-08,Cyprus,1,1,Austria,False,,,Cyprus International Tournament,2005
2005-02-08,Latvia,1,2,Finland,True,,,Cyprus International Tournament,2005
2005-02-09,Austria,1,1,Latvia,True,,,Cyprus International Tournament,2005
2005-02-09,Cyprus,1,2,Finland,False,,,Cyprus International Tournament,2005
2006-02-28,Cyprus,0,1,Slovenia,False,,,Cyprus International Tournament,2006
2006-02-28,Finland,0,0,Kazakhstan,True,,,Cyprus International Tournament,2006
2006-02-28,Greece,1,0,Belarus,True,,,Cyprus International Tournament,2006
2006-02-28,Romania,2,0,Armenia,True,,,Cyprus International Tournament,2006
2006-03-01,Cyprus,2,0,Armenia,False,,,Cyprus International Tournament,2006
2006-03-01,Finland,2,2,Belarus,True,,,Cyprus International Tournament,2006
2006-03-01,Kazakhstan,0,2,Greece,True,,,Cyprus International Tournament,2006
2006-03-01,Slovenia,0,2,Romania,True,,,Cyprus International Tournament,2006
2007-02-06,Cyprus,2,1,Hungary,False,,,Cyprus International Tournament,2007
2007-02-06,Latvia,0,2,Bulgaria,True,,,Cyprus International Tournament,2007
2007-02-07,Cyprus,0,3,Bulgaria,False,,,Cyprus International Tournament,2007
2007-02-07,Latvia,0,2,Hungary,True,,,Cyprus International Tournament,2007
2009-02-10,Cyprus,0,2,Serbia,False,,,Cyprus International Tournament,2009
2009-02-10,Slovakia,2,3,Ukraine,True,,,Cyprus International Tournament,2009
2009-02-11,Cyprus,3,2,Slovakia,False,,,Cyprus International Tournament,2009
2009-02-11,Serbia,0,1,Ukraine,True,,,Cyprus International Tournament,2009
2011-02-08,Cyprus,0,2,Sweden,False,,,Cyprus International Tournament,2011
2011-02-08,Romania,2,2,Ukraine,True,,,Cyprus International Tournament,2011
2011-02-09,Cyprus,1,1,Romania,False,,,Cyprus International Tournament,2011
2011-02-09,Sweden,1,1,Ukraine,True,,,Cyprus International Tournament,2011
