,date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
359,1982-07-11,Italy,3,1,Germany,True,,,FIFA World Cup,1982
360,1986-05-31,Bulgaria,1,1,Italy,True,,,FIFA World Cup,1986
361,1986-06-01,Canada,0,1,France,True,,,FIFA World Cup,1986
362,1986-06-01,Spain,0,1,Brazil,True,,,FIFA World Cup,1986
363,1986-06-02,Argentina,3,1,South Korea,True,,,FIFA World Cup,1986
364,1986-06-02,Morocco,0,0,Poland,True,,,FIFA World Cup,1986
365,1986-06-02,Russia,6,0,Hungary,True,,,FIFA World Cup,1986
366,1986-06-03,Algeria,1,1,Northern Ireland,True,,,FIFA World Cup,1986
367,1986-06-03,Mexico,2,1,Belgium,False,,,FIFA World Cup,1986
368,1986-06-03,Portugal,1,0,England,True,,,FIFA World Cup,1986
369,1986-06-04,Paraguay,1,0,Iraq,True,,,FIFA World Cup,1986
370,1986-06-04,Scotland,0,1,Denmark,True,,,FIFA World Cup,1986
371,1986-06-04,Uruguay,1,1,Germany,True,,,FIFA World Cup,1986
372,1986-06-05,France,1,1,Russia,True,,,FIFA World Cup,1986
373,1986-06-05,Italy,1,1,Argentina,True,,,FIFA World Cup,1986
374,1986-06-05,South Korea,1,1,Bulgaria,True,,,FIFA World Cup,1986
375,1986-06-06,Brazil,1,0,Algeria,True,,,FIFA World Cup,1986
376,1986-06-06,England,0,0,Morocco,True,,,FIFA World Cup,1986
377,1986-06-06,Hungary,2,0,Canada,True,,,FIFA World Cup,1986
378,1986-06-07,Mexico,1,1,Paraguay,False,,,FIFA World Cup,1986
379,1986-06-07,Northern Ireland,1,2,Spain,True,,,FIFA World Cup,1986
380,1986-06-07,Poland,1,0,Portugal,True,,,FIFA World Cup,1986
381,1986-06-08,Denmark,6,1,Uruguay,True,,,FIFA World Cup,1986
382,1986-06-08,Germany,2,1,Scotland,True,,,FIFA World Cup,1986
383,1986-06-08,Iraq,1,2,Belgium,True,,,FIFA World Cup,1986
384,1986-06-09,Hungary,0,3,France,True,,,FIFA World Cup,1986
385,1986-06-09,Russia,2,0,Canada,True,,,FIFA World Cup,1986
386,1986-06-10,Argentina,2,0,Bulgaria,True,,,FIFA World Cup,1986
387,1986-06-10,South Korea,2,3,Italy,True,,,FIFA World Cup,1986
388,1986-06-11,England,3,0,Poland,True,,,FIFA World Cup,1986
389,1986-06-11,Mexico,1,0,Iraq,False,,,FIFA World Cup,1986
390,1986-06-11,Paraguay,2,2,Belgium,True,,,FIFA World Cup,1986
391,1986-06-11,Portugal,1,3,Morocco,True,,,FIFA World Cup,1986
392,1986-06-12,Algeria,0,3,Spain,True,,,FIFA World Cup,1986
393,1986-06-12,Northern Ireland,0,3,Brazil,True,,,FIFA World Cup,1986
394,1986-06-13,Denmark,2,0,Germany,True,,,FIFA World Cup,1986
395,1986-06-13,Scotland,0,0,Uruguay,True,,,FIFA World Cup,1986
396,1986-06-15,Mexico,2,0,Bulgaria,False,,,FIFA World Cup,1986
397,1986-06-15,Russia,3,4,Belgium,True,,,FIFA World Cup,1986
398,1986-06-16,Argentina,1,0,Uruguay,True,,,FIFA World Cup,1986
399,1986-06-16,Brazil,4,0,Poland,True,,,FIFA World Cup,1986
400,1986-06-17,Italy,0,2,France,True,,,FIFA World Cup,1986
401,1986-06-17,Morocco,0,1,Germany,True,,,FIFA World Cup,1986
402,1986-06-18,Denmark,1,5,Spain,True,,,FIFA World Cup,1986
403,1986-06-18,England,3,0,Paraguay,True,,,FIFA World Cup,1986
404,1986-06-21,Brazil,1,1,France,True,,,FIFA World Cup,1986
405,1986-06-21,Mexico,0,0,Germany,False,,,FIFA World Cup,1986
406,1986-06-22,Argentina,2,1,England,True,,,FIFA World Cup,1986
407,1986-06-22,Spain,1,1,Belgium,True,,,FIFA World Cup,1986
408,1986-06-25,Argentina,2,0,Belgium,True,,,FIFA World Cup,1986
409,1986-06-25,France,0,2,Germany,True,,,FIFA World Cup,1986
410,1986-06-28,France,4,2,Belgium,True,,,FIFA World Cup,1986
411,1986-06-29,Argentina,3,2,Germany,True,,,FIFA World Cup,1986
