,date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
306,1978-06-24,Brazil,2,1,Italy,True,,,FIFA World Cup,1978
307,1978-06-25,Argentina,3,1,Netherlands,False,,,FIFA World Cup,1978
308,1982-06-13,Argentina,0,1,Belgium,True,,,FIFA World Cup,1982
309,1982-06-14,Brazil,2,1,Russia,True,,,FIFA World Cup,1982
310,1982-06-14,Italy,0,0,Poland,True,,,FIFA World Cup,1982
311,1982-06-15,Hungary,10,1,El Salvador,True,,,FIFA World Cup,1982
312,1982-06-15,Peru,0,0,Cameroon,True,,,FIFA World Cup,1982
313,1982-06-15,Scotland,5,2,New Zealand,True,,,FIFA World Cup,1982
314,1982-06-16,England,3,1,France,True,,,FIFA World Cup,1982
315,1982-06-16,Germany,1,2,Algeria,True,,,FIFA World Cup,1982
316,1982-06-16,Spain,1,1,Honduras,False,,,FIFA World Cup,1982
317,1982-06-17,Chile,0,1,Austria,True,,,FIFA World Cup,1982
318,1982-06-17,Czechoslovakia,1,1,Kuwait,True,,,FIFA World Cup,1982
319,1982-06-17,Yugoslavia,0,0,Northern Ireland,True,,,FIFA World Cup,1982
320,1982-06-18,Argentina,4,1,Hungary,True,,,FIFA World Cup,1982
321,1982-06-18,Brazil,4,1,Scotland,True,,,FIFA World Cup,1982
322,1982-06-18,Italy,1,1,Peru,True,,,FIFA World Cup,1982
323,1982-06-19,Belgium,1,0,El Salvador,True,,,FIFA World Cup,1982
324,1982-06-19,Poland,0,0,Cameroon,True,,,FIFA World Cup,1982
325,1982-06-19,Russia,3,0,New Zealand,True,,,FIFA World Cup,1982
326,1982-06-20,England,2,0,Czechoslovakia,True,,,FIFA World Cup,1982
327,1982-06-20,Germany,4,1,Chile,True,,,FIFA World Cup,1982
328,1982-06-20,Spain,2,1,Yugoslavia,False,,,FIFA World Cup,1982
329,1982-06-21,Algeria,0,2,Austria,True,,,FIFA World Cup,1982
330,1982-06-21,France,4,1,Kuwait,True,,,FIFA World Cup,1982
331,1982-06-21,Honduras,1,1,Northern Ireland,True,,,FIFA World Cup,1982
332,1982-06-22,Belgium,1,1,Hungary,True,,,FIFA World Cup,1982
333,1982-06-22,Poland,5,1,Peru,True,,,FIFA World Cup,1982
334,1982-06-22,Russia,2,2,Scotland,True,,,FIFA World Cup,1982
335,1982-06-23,Argentina,2,0,El Salvador,True,,,FIFA World Cup,1982
336,1982-06-23,Brazil,4,0,New Zealand,True,,,FIFA World Cup,1982
337,1982-06-23,Italy,1,1,Cameroon,True,,,FIFA World Cup,1982
338,1982-06-24,Algeria,3,2,Chile,True,,,FIFA World Cup,1982
339,1982-06-24,France,1,1,Czechoslovakia,True,,,FIFA World Cup,1982
340,1982-06-24,Honduras,0,1,Yugoslavia,True,,,FIFA World Cup,1982
341,1982-06-25,England,1,0,Kuwait,True,,,FIFA World Cup,1982
342,1982-06-25,Germany,1,0,Austria,True,,,FIFA World Cup,1982
343,1982-06-25,Spain,0,1,Northern Ireland,False,,,FIFA World Cup,1982
344,1982-06-28,Austria,0,1,France,True,,,FIFA World Cup,1982
345,1982-06-28,Poland,3,0,Belgium,True,,,FIFA World Cup,1982
346,1982-06-29,Germany,0,0,England,True,,,FIFA World Cup,1982
347,1982-06-29,Italy,2,1,Argentina,True,,,FIFA World Cup,1982
348,1982-07-01,Austria,2,2,Northern Ireland,True,,,FIFA World Cup,1982
349,1982-07-01,Belgium,0,1,Russia,True,,,FIFA World Cup,1982
350,1982-07-02,Argentina,1,3,Brazil,True,,,FIFA World Cup,1982
351,1982-07-02,Spain,1,2,Germany,False,,,FIFA World Cup,1982
352,1982-07-04,France,4,1,Northern Ireland,True,,,FIFA World Cup,1982
353,1982-07-04,Poland,0,0,Russia,True,,,FIFA World Cup,1982
354,1982-07-05,Italy,3,2,Brazil,True,,,FIFA World Cup,1982
355,1982-07-05,Spain,0,0,England,False,,,FIFA World Cup,1982
356,1982-07-08,Germany,3,3,France,True,,,FIFA World Cup,1982
357,1982-07-08,Poland,0,2,Italy,True,,,FIFA World Cup,1982
358,1982-07-10,Poland,3,2,France,True,,,FIFA World Cup,1982
