date,home_team,home_score,away_score,away_team,neutral,stage,tournament_name,tournament_year
2008-12-11,Adelaide United,2,1,Waitakere United,True,,FIFA Intercontinental Cup,2008
2008-12-13,Al-Ahly,2,4,Pachuca,True,,FIFA Intercontinental Cup,2008
2008-12-14,Adelaide United,0,1,Gamba Osaka,True,,FIFA Intercontinental Cup,2008
2008-12-17,Pachuca,0,2,LDU de Quito,True,Semifinal,FIFA Intercontinental Cup,2008
2008-12-18,Gamba Osaka,3,5,Manchester United,True,Semifinal,FIFA Intercontinental Cup,2008
2008-12-18,Al-Ahly,0,1,Adelaide United,True,Semifinal,FIFA Intercontinental Cup,2008
2008-12-21,Pachuca,0,1,Gamba Osaka,True,Semifinal,FIFA Intercontinental Cup,2008
2008-12-21,LDU de Quito,0,1,Manchester United,True,Final,FIFA Intercontinental Cup,2008
