date,home_team,home_score,away_score,away_team,neutral,stage,tournament_name,tournament_year
2024-09-22,Al-Ain,6,2,Auckland City,False,Qualifying Round,FIFA Intercontinental Cup,2024
2024-10-29,Al-Ahly,3,0,Al-Ain,False,Qualifying Round,FIFA Intercontinental Cup,2024
2024-12-11,Botafogo,0,3,Pachuca,True,Qualifying Round,FIFA Intercontinental Cup,2024
2024-12-14,Pachuca,0,0,Al-Ahly,True,Final,FIFA Intercontinental Cup,2024
2024-12-18,Real Madrid,3,0,Pachuca,True,Final,FIFA Intercontinental Cup,2024
