date,home_team,home_score,away_score,away_team,neutral,stage,tournament_name,tournament_year
2017-12-06,Al-Jazeera,1,0,Auckland City,True,,FIFA Intercontinental Cup,2017
2017-12-09,Pachuca,1,0,WAC Casablanca,True,,FIFA Intercontinental Cup,2017
2017-12-09,Al-Jazeera,1,0,Urawa Red Diamonds,True,,FIFA Intercontinental Cup,2017
2017-12-12,Grêmio,1,0,Pachuca,True,Semifinal,FIFA Intercontinental Cup,2017
2017-12-13,Al-Jazeera,1,2,Real Madrid,True,Semifinal,FIFA Intercontinental Cup,2017
2017-12-12,Urawa Red Diamonds,3,2,WAC Casablanca,True,Semifinal,FIFA Intercontinental Cup,2017
2017-12-16,Al-Jazeera,1,4,Pachuca,True,Semifinal,FIFA Intercontinental Cup,2017
2017-12-16,Grêmio,0,1,Real Madrid,True,Final,FIFA Intercontinental Cup,2017
