date,home_team,home_score,away_score,away_team,neutral,stage,tournament_name,tournament_year
2010-12-08,Al-Wahda,3,0,Hekari United,True,,FIFA Intercontinental Cup,2010
2010-12-10,TP Mazembe,1,0,Pachuca,True,,FIFA Intercontinental Cup,2010
2010-12-11,Al-Wahda,1,4,Seongnam Ilhwa Chunma,True,,FIFA Intercontinental Cup,2010
2010-12-14,Internacional,0,2,TP Mazembe,True,Semifinal,FIFA Intercontinental Cup,2010
2010-12-15,Internazionale,3,0,Seongnam Ilhwa Chunma,True,Semifinal,FIFA Intercontinental Cup,2010
2010-12-15,Pachuca,2,2,Al-Wahda,True,Semifinal,FIFA Intercontinental Cup,2010
2010-12-18,Internacional,4,2,Seongnam Ilhwa Chunma,True,Semifinal,FIFA Intercontinental Cup,2010
2010-12-18,TP Mazembe,0,3,Internazionale,True,Final,FIFA Intercontinental Cup,2010
