,date,home_team,home_score,away_score,away_team,neutral,knockout,stage
0,2022-02-22,Lagarto-SE,0,0,Figueirense-SC,False,False,first
1,2022-02-22,Urt-MG,1,1,Avaí-SC,False,False,first
2,2022-02-22,FC Cascavel-PR,1,0,Ponte Preta-SP,False,False,first
3,2022-02-23,Tuntum-MA,4,2,Volta Redonda-RJ,False,False,first
4,2022-02-23,Azuriz-PR,1,0,Botafogo-SP,False,False,first
5,2022-02-23,ASA-AL,0,2,Cuiabá-MT,False,False,first
6,2022-02-23,Salgueiro-PE,0,3,Santos-SP,False,False,first
7,2022-02-23,Gloria-RS,1,0,Brasil-RS,False,False,first
8,2022-02-23,Tocantinópolis-TO,1,0,Náutico-PE,False,False,first
9,2022-02-23,Atlético-BA,1,1,CSA-AL,False,False,first
10,2022-02-23,Sergipe-SE,0,5,Cruzeiro-MG,False,False,first
11,2022-02-23,Humaitá-AC,2,2,Brasiliense-DF,False,False,first
12,2022-02-24,Nova Iguaçu-RJ,0,0,Criciúma-SC,False,False,first
13,2022-02-24,Fluminense-PI,2,0,Oeste-SP,False,False,first
14,2022-02-24,São Raimundo-AM,0,1,Manaus-AM,False,False,first
15,2022-02-24,Bahia de Feira-BA,2,5,Coritiba-PR,False,False,first
16,2022-02-24,Campinense-PB,0,0,São Paulo-SP,False,False,first
17,2022-03-01,Icasa-CE,0,0,Tombense-MG,False,False,first
18,2022-03-01,Marica-RJ,0,1,Guarani-SP,False,False,first
19,2022-03-01,Moto Club-MA,3,2,Chapecoense-SC,False,False,first
20,2022-03-01,Pouso Alegre-MG,2,0,Paraná-PR,False,False,first
21,2022-03-01,Mirassol-SP,3,2,Grêmio-RS,False,False,first
22,2022-03-01,Sousa-PB,1,1,Goiás-GO,False,False,first
23,2022-03-02,Ceilândia-DF,2,0,Londrina-PR,False,False,first
24,2022-03-02,Tuna Luso-PA,1,0,Novorizontino-SP,False,False,first
25,2022-03-02,Porto Velho-RO,1,2,Juventude-RS,False,False,first
26,2022-03-02,Operário-MT,1,2,Sampaio Corrêa-MA,False,False,first
27,2022-03-02,Real Noroeste-ES,2,1,Operário-PR,False,False,first
28,2022-03-02,São Raimundo-RR,0,3,Ceará-CE,False,False,first
