,date,home_team,home_score,away_score,away_team,neutral,knockout,stage
0,2020-02-05,Coruripe-AL,0,0,Juventude-RS,False,False,first
1,2020-02-05,Independente-PA,2,3,CRB-AL,False,False,first
2,2020-02-05,Barbalha-CE,0,3,Operário-PR,False,False,first
3,2020-02-05,Santo André-SP,4,1,Criciúma-SC,False,False,first
4,2020-02-05,São Luiz-RS,0,0,América-RN,False,False,first
5,2020-02-05,Xv de Piracicaba-SP,1,0,Londrina-PR,False,False,first
6,2020-02-05,Bahia de Feira-BA,3,1,Luverdense-MT,False,False,first
7,2020-02-05,Vilhenense-RO,1,1,Boa-MG,False,False,first
8,2020-02-05,Santos-AP,1,1,America-MG,False,False,first
9,2020-02-05,River-PI,1,0,Bahia-BA,False,False,first
10,2020-02-05,Caxias-RS,1,1,Botafogo-RJ,False,False,first
11,2020-02-05,Palmas Ltda-TO,0,2,Paraná-PR,False,False,first
12,2020-02-05,Operário-MT,0,0,Santa Cruz-PE,False,False,first
13,2020-02-05,Aquidauanense-MS,0,1,ABC-RN,False,False,first
14,2020-02-05,Fast Clube-AM,0,2,Goiás-GO,False,False,first
15,2020-02-06,Novorizontino-SP,1,2,Figueirense-SC,False,False,first
16,2020-02-06,Brasiliense-DF,1,1,Paysandu-PA,False,False,first
17,2020-02-06,Vitoria FC-ES,2,1,CSA-AL,False,False,first
18,2020-02-06,União-MT,0,1,Atlético-GO,False,False,first
19,2020-02-11,Imperatriz-MA,0,0,Vitória-BA,False,False,first
20,2020-02-12,Bragantino-PA,1,2,Ceará-CE,False,False,first
21,2020-02-12,Frei Paulistano-SE,1,2,Remo-PA,False,False,first
22,2020-02-12,Caucaia-CE,1,2,São José-RS,False,False,first
23,2020-02-12,Bangu-RJ,1,1,Oeste-SP,False,False,first
24,2020-02-12,Brusque-SC,2,1,Sport-PE,False,False,first
25,2020-02-12,Gama-DF,3,3,Brasil-RS,False,False,first
26,2020-02-12,Atlético-BA,0,0,Botafogo-PB,False,False,first
27,2020-02-12,Toledo-PR,0,2,Náutico-PE,False,False,first
28,2020-02-12,Campinense-PB,0,0,Atlético-MG,False,False,first
29,2020-02-12,Galvez-AC,0,1,Vila Nova-GO,False,False,first
30,2020-02-12,Altos-PI,1,1,Vasco da Gama-RJ,False,False,first
31,2020-02-12,Águia Negra-MS,2,1,Sampaio Corrêa-MA,False,False,first
32,2020-02-12,Manaus-AM,1,0,Coritiba-PR,False,False,first
33,2020-02-13,Ferroviária-SP,2,0,Avaí-SC,False,False,first
34,2020-02-13,Novo Hamburgo-RS,1,2,Ponte Preta-SP,False,False,first
35,2020-02-13,Afogados-PE,3,0,Atlético-AC,False,False,first
36,2020-02-13,São Raimundo-RR,2,2,Cruzeiro-MG,False,False,first
37,2020-02-19,Lagarto-SE,1,0,Volta Redonda-RJ,False,False,first
38,2020-02-19,Boavista-RJ,0,2,Chapecoense-SC,False,False,first
39,2020-02-26,Moto Club-MA,2,4,Fluminense-RJ,False,False,first
40,2020-02-18,Vitoria FC-ES,0,1,Figueirense-SC,False,False,second
41,2020-02-19,Paysandu-PA,1,1,CRB-AL,False,False,second
42,2020-02-19,Náutico-PE,1,1,Botafogo-RJ,False,False,second
43,2020-02-19,Oeste-SP,1,1,Ceará-CE,False,False,second
44,2020-02-20,Brusque-SC,5,1,Remo-PA,False,False,second
45,2020-02-26,Xv de Piracicaba-SP,1,1,Juventude-RS,False,False,second
46,2020-02-26,Paraná-PR,3,2,Bahia de Feira-BA,False,False,second
47,2020-02-26,River-PI,1,1,América-RN,False,False,second
48,2020-02-26,Ferroviária-SP,6,2,Águia Negra-MS,False,False,second
49,2020-02-26,Afogados-PE,2,2,Atlético-MG,False,False,second
50,2020-02-27,São José-RS,0,0,Chapecoense-SC,False,False,second
51,2020-02-27,Ponte Preta-SP,0,0,Vila Nova-GO,False,False,second
52,2020-03-04,Fluminense-RJ,2,0,Botafogo-PB,False,False,second
53,2020-03-04,Santo André-SP,0,2,Goiás-GO,False,False,second
54,2020-03-04,Brasil-RS,1,0,Manaus-AM,False,False,second
55,2020-03-04,Boa-MG,1,1,Cruzeiro-MG,False,False,second
56,2020-03-04,Atlético-GO,1,1,Santa Cruz-PE,False,False,second
57,2020-03-05,Vitória-BA,3,1,Lagarto-SE,False,False,second
58,2020-03-05,Operário-PR,0,2,America-MG,False,False,second
59,2020-03-05,Vasco da Gama-RJ,1,0,ABC-RN,False,False,second
60,2020-03-10,Botafogo-RJ,1,0,Paraná-PR,False,False,third
61,2020-03-11,Juventude-RS,1,1,América-RN,False,False,third
