date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1963-08-29,Fiji,3,1,Papua New Guinea,False,,,South Pacific Games,1963
1963-08-30,Solomon Islands,6,3,Vanuatu,True,,,South Pacific Games,1963
1963-09-01,Fiji,5,0,Solomon Islands,False,,,South Pacific Games,1963
1963-09-01,New Caledonia,2,1,Tahiti,True,,,South Pacific Games,1963
1963-09-06,Solomon Islands,0,18,Tahiti,True,,,South Pacific Games,1963
1963-09-06,Fiji,2,8,New Caledonia,False,,,South Pacific Games,1963
1966-12-09,Papua New Guinea,3,4,Tahiti,True,,,South Pacific Games,1966
1966-12-11,Tahiti,5,0,Wallis Islands and Futuna,True,,,South Pacific Games,1966
1966-12-12,New Caledonia,5,0,Vanuatu,False,,,South Pacific Games,1966
1966-12-12,New Caledonia,8,0,Solomon Islands,False,,,South Pacific Games,1966
1966-12-13,Papua New Guinea,9,1,Wallis Islands and Futuna,True,,,South Pacific Games,1966
1966-12-13,Solomon Islands,4,4,Vanuatu,True,,,South Pacific Games,1966
1966-12-15,New Caledonia,4,0,Papua New Guinea,False,,,South Pacific Games,1966
1966-12-15,Tahiti,3,0,Vanuatu,True,,,South Pacific Games,1966
1966-12-17,New Caledonia,0,2,Tahiti,False,,,South Pacific Games,1966
1966-12-17,Papua New Guinea,2,5,Vanuatu,True,,,South Pacific Games,1966
1969-08-14,Fiji,5,1,Solomon Islands,True,,,South Pacific Games,1969
1969-08-14,Tahiti,3,3,Vanuatu,True,,,South Pacific Games,1969
1969-08-14,Papua New Guinea,1,4,New Caledonia,False,,,South Pacific Games,1969
1969-08-15,New Caledonia,1,1,Solomon Islands,True,,,South Pacific Games,1969
1969-08-15,Papua New Guinea,1,3,Tahiti,False,,,South Pacific Games,1969
1969-08-15,Fiji,5,2,Vanuatu,True,,,South Pacific Games,1969
1969-08-16,Fiji,0,2,Tahiti,True,,,South Pacific Games,1969
1969-08-16,Papua New Guinea,4,0,Solomon Islands,False,,,South Pacific Games,1969
1969-08-16,New Caledonia,2,0,Vanuatu,True,,,South Pacific Games,1969
1969-08-18,Fiji,0,11,New Caledonia,True,,,South Pacific Games,1969
1969-08-18,Solomon Islands,0,7,Tahiti,True,,,South Pacific Games,1969
1969-08-18,Papua New Guinea,2,1,Vanuatu,False,,,South Pacific Games,1969
1969-08-20,Vanuatu,7,2,Solomon Islands,True,,,South Pacific Games,1969
1969-08-20,Papua New Guinea,1,1,Fiji,False,,,South Pacific Games,1969
1969-08-22,New Caledonia,2,1,Tahiti,True,,,South Pacific Games,1969
1969-08-22,Papua New Guinea,2,1,Fiji,False,,,South Pacific Games,1969
1971-09-09,Fiji,1,5,New Caledonia,True,,,South Pacific Games,1971
1971-09-09,Tahiti,2,2,Papua New Guinea,False,,,South Pacific Games,1971
1971-09-11,Cook Islands,1,16,Papua New Guinea,True,,,South Pacific Games,1971
1971-09-11,Fiji,4,6,Vanuatu,True,,,South Pacific Games,1971
1971-09-13,New Caledonia,0,0,Vanuatu,True,,,South Pacific Games,1971
1971-09-13,Tahiti,30,0,Cook Islands,False,,,South Pacific Games,1971
1971-09-15,Cook Islands,1,15,Fiji,True,,,South Pacific Games,1971
