date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1959-12-13,Malaysia,2,1,Myanmar,True,,,Southeast Asian Peninsular Games,1959
1959-12-13,Thailand,0,4,Vietnam Republic,False,,,Southeast Asian Peninsular Games,1959
1959-12-14,Vietnam Republic,3,0,Myanmar,True,,,Southeast Asian Peninsular Games,1959
1959-12-14,Thailand,3,1,Malaysia,False,,,Southeast Asian Peninsular Games,1959
1959-12-15,Malaysia,2,1,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1959
1959-12-15,Thailand,5,2,Myanmar,False,,,Southeast Asian Peninsular Games,1959
1959-12-17,Thailand,1,3,Vietnam Republic,False,,,Southeast Asian Peninsular Games,1959
1961-12-11,Myanmar,4,0,Cambodia,False,,,Southeast Asian Peninsular Games,1961
1961-12-11,Thailand,0,0,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1961
1961-12-12,Malaysia,4,0,Cambodia,True,,,Southeast Asian Peninsular Games,1961
1961-12-12,Vietnam Republic,7,0,Laos,True,,,Southeast Asian Peninsular Games,1961
1961-12-13,Myanmar,1,2,Malaysia,False,,,Southeast Asian Peninsular Games,1961
1961-12-13,Thailand,5,2,Laos,True,,,Southeast Asian Peninsular Games,1961
1961-12-14,Malaysia,2,2,Thailand,True,,,Southeast Asian Peninsular Games,1961
1961-12-14,Myanmar,2,1,Vietnam Republic,False,,,Southeast Asian Peninsular Games,1961
1961-12-16,Thailand,1,1,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1961
1961-12-16,Myanmar,0,2,Malaysia,False,,,Southeast Asian Peninsular Games,1961
1965-12-15,Thailand,2,1,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1965
1965-12-15,Myanmar,1,0,Singapore,True,,,Southeast Asian Peninsular Games,1965
1965-12-16,Vietnam Republic,5,1,Singapore,True,,,Southeast Asian Peninsular Games,1965
1965-12-18,Thailand,2,0,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1965
1965-12-18,Malaysia,0,2,Myanmar,False,,,Southeast Asian Peninsular Games,1965
1965-12-20,Malaysia,0,2,Vietnam Republic,False,,,Southeast Asian Peninsular Games,1965
1965-12-22,Myanmar,2,2,Thailand,True,,,Southeast Asian Peninsular Games,1965
1967-12-10,Thailand,4,0,Malaysia,False,,,Southeast Asian Peninsular Games,1967
1967-12-11,Myanmar,2,1,Malaysia,True,,,Southeast Asian Peninsular Games,1967
1967-12-11,Laos,0,5,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1967
1967-12-12,Thailand,0,1,Myanmar,False,,,Southeast Asian Peninsular Games,1967
1967-12-14,Myanmar,2,0,Laos,True,,,Southeast Asian Peninsular Games,1967
1967-12-14,Thailand,0,5,Vietnam Republic,False,,,Southeast Asian Peninsular Games,1967
1967-12-15,Thailand,5,2,Laos,False,,,Southeast Asian Peninsular Games,1967
1967-12-16,Myanmar,2,1,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1967
1969-12-06,Malaysia,2,1,Laos,True,,,Southeast Asian Peninsular Games,1969
1969-12-07,Malaysia,2,1,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1969
1969-12-08,Myanmar,1,1,Thailand,False,,,Southeast Asian Peninsular Games,1969
1969-12-09,Laos,0,0,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1969
1969-12-10,Malaysia,0,3,Thailand,True,,,Southeast Asian Peninsular Games,1969
1969-12-11,Myanmar,4,0,Laos,False,,,Southeast Asian Peninsular Games,1969
1969-12-13,Myanmar,3,0,Thailand,False,,,Southeast Asian Peninsular Games,1969
1971-12-12,Cambodia,1,1,Thailand,True,,,Southeast Asian Peninsular Games,1971
1971-12-12,Malaysia,5,0,Laos,False,,,Southeast Asian Peninsular Games,1971
1971-12-12,Myanmar,0,0,Vietnam Republic,True,,,Southeast Asian Peninsular Games,1971
1971-12-14,Laos,0,2,Cambodia,True,,,Southeast Asian Peninsular Games,1971
1971-12-14,Malaysia,4,2,Thailand,False,,,Southeast Asian Peninsular Games,1971
