,date,home_team,home_score,away_score,away_team,neutral
116,2010-08-01,Internacional,0,0,Grêmio,False
117,2010-08-01,Atlético-MG,0,1,Cruzeiro,False
118,2010-08-01,Prudente,1,2,Santos,False
119,2010-08-01,Flamengo,0,0,Vasco da Gama,False
120,2010-08-07,Botafogo,3,0,Atlético-MG,False
121,2010-08-07,Guarani,4,1,Avaí,False
122,2010-08-08,Atlético-PR,1,1,São Paulo,False
123,2010-08-08,Corinthians,1,0,Flamengo,False
124,2010-08-08,Goiás,1,1,Palmeiras,False
125,2010-08-08,Ceará,0,0,Atlético-GO,False
126,2010-08-08,Grêmio,1,2,Fluminense,False
127,2010-08-08,Vasco da Gama,1,0,Vitória,False
128,2010-08-08,Cruzeiro,0,0,Prudente,False
129,2010-10-13,Santos,1,0,Internacional,False
130,2010-08-14,Atlético-GO,0,2,Botafogo,False
131,2010-08-14,Palmeiras,2,0,Atlético-PR,False
132,2010-08-14,Flamengo,1,0,Ceará,False
133,2010-08-14,Atlético-MG,3,1,Guarani,False
134,2010-08-15,São Paulo,2,2,Cruzeiro,False
135,2010-08-15,Prudente,1,2,Vasco da Gama,False
136,2010-08-15,Avaí,3,2,Corinthians,False
137,2010-08-15,Fluminense,3,0,Internacional,False
138,2010-08-15,Vitória,4,2,Santos,False
139,2010-08-15,Grêmio,2,0,Goiás,False
140,2010-08-21,Goiás,1,2,Prudente,False
141,2010-08-21,Botafogo,1,0,Avaí,False
142,2010-08-22,Cruzeiro,0,1,Vitória,False
143,2010-08-22,Santos,2,0,Atlético-MG,False
144,2010-08-22,Guarani,0,0,Palmeiras,False
145,2010-08-22,Atlético-PR,1,0,Flamengo,False
146,2010-08-22,Internacional,1,1,Atlético-GO,False
147,2010-08-22,Ceará,2,1,Grêmio,False
148,2010-08-22,Corinthians,3,0,São Paulo,False
149,2010-08-22,Vasco da Gama,2,2,Fluminense,False
150,2010-08-25,Goiás,0,3,Fluminense,False
151,2010-08-25,Avaí,0,1,Internacional,False
152,2010-08-25,Botafogo,1,0,Ceará,False
153,2010-08-25,Prudente,0,1,Atlético-PR,False
154,2010-08-25,São Paulo,0,0,Vasco da Gama,False
155,2010-08-25,Cruzeiro,1,0,Corinthians,False
156,2010-08-25,Grêmio,1,2,Santos,False
157,2010-08-26,Flamengo,0,0,Atlético-MG,False
158,2010-08-26,Vitória,1,1,Guarani,False
159,2010-08-26,Palmeiras,0,3,Atlético-GO,False
160,2010-08-28,Internacional,1,0,Botafogo,False
161,2010-08-28,Vasco da Gama,1,1,Cruzeiro,False
162,2010-08-28,Ceará,2,2,Prudente,False
163,2010-08-28,Santos,2,0,Goiás,False
164,2010-08-29,Corinthians,2,1,Vitória,False
165,2010-08-29,Guarani,2,1,Flamengo,False
166,2010-08-29,Atlético-MG,1,2,Palmeiras,False
167,2010-08-29,Fluminense,2,2,São Paulo,False
168,2010-08-29,Atlético-GO,2,2,Avaí,False
169,2010-08-29,Atlético-PR,1,1,Grêmio,False
170,2010-09-01,Vitória,0,0,Internacional,False
171,2010-09-01,Grêmio,1,0,Guarani,False
172,2010-09-01,Prudente,0,1,Botafogo,False
173,2010-09-01,Goiás,1,3,Atlético-MG,False
174,2010-09-01,Cruzeiro,1,0,Flamengo,False
175,2010-09-01,Atlético-PR,2,1,Ceará,False
176,2010-09-01,Fluminense,1,1,Palmeiras,False
177,2010-09-02,Santos,2,1,Avaí,False
178,2010-09-02,São Paulo,2,1,Atlético-GO,False
179,2010-10-13,Vasco da Gama,2,0,Corinthians,False
180,2010-09-04,Botafogo,2,2,Grêmio,False
181,2010-09-04,Ceará,0,2,Vasco da Gama,False
182,2010-09-04,Corinthians,5,1,Goiás,False
183,2010-09-05,Avaí,0,1,Atlético-PR,False
184,2010-09-05,Palmeiras,2,3,Cruzeiro,False
185,2010-09-05,Guarani,2,1,Fluminense,False
186,2010-09-05,Atlético-MG,2,3,São Paulo,False
187,2010-09-05,Flamengo,0,0,Santos,False
188,2010-09-05,Atlético-GO,4,1,Vitória,False
189,2010-09-05,Internacional,2,0,Prudente,False
190,2010-09-08,São Paulo,2,0,Flamengo,False
191,2010-09-08,Fluminense,3,1,Ceará,False
192,2010-09-08,Cruzeiro,1,0,Internacional,False
193,2010-09-08,Grêmio,2,0,Atlético-GO,False
194,2010-09-08,Goiás,3,1,Guarani,False
195,2010-09-08,Vitória,1,1,Palmeiras,False
196,2010-09-08,Atlético-PR,1,1,Corinthians,False
197,2010-09-09,Prudente,1,1,Avaí,False
198,2010-09-09,Santos,0,1,Botafogo,False
199,2010-09-09,Vasco da Gama,1,1,Atlético-MG,False
200,2010-09-11,Flamengo,2,2,Vitória,False
201,2010-09-11,Atlético-GO,2,1,Fluminense,False
202,2010-09-11,Corinthians,0,1,Grêmio,False
203,2010-09-12,Palmeiras,0,0,Vasco da Gama,False
204,2010-09-12,Botafogo,2,0,São Paulo,False
205,2010-09-12,Guarani,1,0,Atlético-PR,False
206,2010-09-12,Atlético-MG,1,0,Prudente,False
207,2010-09-12,Internacional,0,0,Goiás,False
208,2010-09-12,Ceará,2,1,Santos,False
209,2010-09-12,Avaí,1,2,Cruzeiro,False
210,2010-09-15,Santos,4,2,Atlético-GO,False
211,2010-09-15,Fluminense,1,2,Corinthians,False
212,2010-09-15,Prudente,1,2,Flamengo,False
213,2010-09-15,Cruzeiro,4,2,Guarani,False
214,2010-09-15,Grêmio,1,2,Palmeiras,False
215,2010-09-15,Goiás,4,1,Botafogo,False
216,2010-09-15,Vitória,0,0,Ceará,False
217,2010-09-15,Atlético-PR,2,1,Atlético-MG,False
218,2010-09-16,São Paulo,1,3,Internacional,False
219,2010-09-16,Vasco da Gama,1,1,Avaí,False
220,2010-09-18,Corinthians,3,0,Prudente,False
221,2010-09-18,Atlético-GO,1,2,Atlético-PR,False
222,2010-09-18,Botafogo,2,2,Cruzeiro,False
223,2010-09-19,Palmeiras,0,2,São Paulo,False
224,2010-09-19,Flamengo,3,3,Fluminense,False
225,2010-09-19,Guarani,0,0,Santos,False
226,2010-09-19,Atlético-MG,2,3,Vitória,False
227,2010-09-19,Internacional,1,0,Vasco da Gama,False
228,2010-09-19,Ceará,1,1,Goiás,False
229,2010-09-19,Avaí,0,3,Grêmio,False
230,2010-09-22,São Paulo,2,1,Guarani,False
231,2010-09-22,Santos,2,3,Corinthians,False
232,2010-09-22,Vasco da Gama,2,2,Botafogo,False
233,2010-09-22,Prudente,0,1,Palmeiras,False
234,2010-09-22,Cruzeiro,2,0,Ceará,False
235,2010-09-22,Grêmio,2,2,Flamengo,False
236,2010-09-22,Goiás,1,3,Atlético-GO,False
237,2010-09-22,Atlético-PR,1,0,Internacional,False
238,2010-09-23,Fluminense,5,1,Atlético-MG,False
239,2010-09-23,Vitória,3,0,Avaí,False
240,2010-09-25,São Paulo,0,3,Goiás,False
241,2010-09-25,Atlético-GO,3,0,Prudente,False
242,2010-09-25,Guarani,1,0,Vasco da Gama,False
243,2010-09-25,Santos,4,1,Cruzeiro,False
244,2010-09-25,Flamengo,1,3,Palmeiras,False
245,2010-09-26,Botafogo,1,1,Atlético-PR,False
246,2010-09-26,Atlético-MG,1,2,Grêmio,False
247,2010-09-26,Internacional,3,2,Corinthians,False
248,2010-09-26,Vitória,1,2,Fluminense,False
249,2010-09-26,Avaí,5,0,Ceará,False
250,2010-09-28,Vasco da Gama,3,1,Santos,False
251,2010-09-28,Goiás,1,1,Flamengo,False
252,2010-09-29,Corinthians,1,1,Botafogo,False
253,2010-09-29,Palmeiras,2,0,Internacional,False
254,2010-09-29,Fluminense,1,0,Avaí,False
255,2010-09-29,Prudente,4,2,Guarani,False
256,2010-09-29,Cruzeiro,3,0,Atlético-GO,False
257,2010-09-29,Grêmio,4,2,São Paulo,False
258,2010-09-29,Ceará,0,0,Atlético-MG,False
259,2010-09-29,Atlético-PR,1,0,Vitória,False
260,2010-10-01,Vasco da Gama,3,2,Goiás,False
261,2010-10-02,Corinthians,2,2,Ceará,False
262,2010-10-02,Santos,1,1,Palmeiras,False
263,2010-10-02,Botafogo,1,1,Flamengo,False
264,2010-10-02,Prudente,1,1,Fluminense,False
265,2010-10-02,Cruzeiro,0,0,Atlético-PR,False
266,2010-10-02,Internacional,3,0,Guarani,False
267,2010-10-02,Atlético-GO,2,3,Atlético-MG,False
268,2010-10-02,Vitória,0,3,Grêmio,False
