,date,home_team,home_score,away_score,away_team,neutral,knockout,category
0,1997-07-05,Gremio,0,0,Sao Paulo,False,False,first
1,1997-07-05,Palmeiras,4,1,Fluminense,False,False,first
2,1997-07-06,Parana,2,1,Sport,False,False,first
3,1997-07-05,Juventude,0,0,Goias,False,False,first
4,1997-07-05,Corinthians,1,3,Internacional,False,False,first
5,1997-07-06,Portuguesa,1,0,Coritiba,False,False,first
6,1997-07-05,Bragantino,3,1,Bahia,False,False,first
7,1997-07-05,Flamengo,2,3,Santos,False,False,first
8,1997-07-05,Cruzeiro,3,1,Guarani,False,False,first
9,1997-07-06,Atletico/PR,2,0,Uniao Sao Joao,False,False,first
10,1997-07-05,America,1,1,Criciuma,False,False,first
11,1997-11-04,Vasco,2,0,Atletico/MG,False,False,first
12,1997-10-07,Vitoria,3,2,Botafogo,False,False,first
13,1997-07-10,Bahia,1,0,Flamengo,False,False,first
14,1997-07-10,Criciuma,1,1,Corinthians,False,False,first
15,1997-07-10,Fluminense,1,1,Cruzeiro,False,False,first
16,1997-07-10,Internacional,2,1,Portuguesa,False,False,first
17,1997-07-09,Guarani,3,1,Atletico/PR,False,False,first
18,1997-07-09,Uniao Sao Joao,0,2,Parana,False,False,first
19,1997-07-09,Coritiba,1,1,Vitoria,False,False,first
20,1997-07-09,Goias,6,0,Gremio,False,False,first
21,1997-07-10,Sport,1,1,America,False,False,first
22,1997-07-10,Atletico/MG,0,1,Palmeiras,False,False,first
23,1997-07-10,Sao Paulo,1,1,Bragantino,False,False,first
24,1997-07-23,Botafogo,0,2,Juventude,False,False,first
25,1997-07-12,Goias,0,0,Botafogo,False,False,first
26,1997-07-12,Parana,2,0,Santos,False,False,first
27,1997-07-12,Coritiba,2,0,Sport,False,False,first
28,1997-07-12,Flamengo,2,0,Criciuma,False,False,first
29,1997-07-12,Bragantino,3,1,Fluminense,False,False,first
30,1997-07-12,Palmeiras,1,1,Guarani,False,False,first
31,1997-07-12,Corinthians,1,0,Juventude,False,False,first
32,1997-07-12,Vitoria,4,4,Portuguesa,False,False,first
33,1997-07-12,Gremio,1,1,Uniao Sao Joao,False,False,first
34,1997-07-13,Atletico/PR,4,2,Atletico/MG,False,False,first
35,1997-07-12,Cruzeiro,0,0,Internacional,False,False,first
36,1997-07-12,America,1,1,Bahia,False,False,first
37,1997-07-23,Vasco,2,1,Sao Paulo,False,False,first
38,1997-07-16,Fluminense,0,0,Vitoria,False,False,first
39,1997-07-16,Juventude,2,1,Palmeiras,False,False,first
40,1997-07-16,Portuguesa,3,0,Gremio,False,False,first
41,1997-07-16,Parana,4,0,Bragantino,False,False,first
42,1997-07-16,Bahia,1,1,Coritiba,False,False,first
43,1997-07-16,Criciuma,1,3,Guarani,False,False,first
44,1997-07-16,America,3,1,Uniao Sao Joao,False,False,first
45,1997-07-16,Sport,3,1,Atletico/PR,False,False,first
46,1997-07-16,Goias,1,4,Flamengo,False,False,first
47,1997-07-16,Corinthians,2,1,Vasco,False,False,first
48,1997-07-16,Cruzeiro,0,5,Sao Paulo,False,False,first
49,1997-07-16,Botafogo,2,0,Atletico/MG,False,False,first
50,1997-07-16,Internacional,2,0,Santos,False,False,first
51,1997-07-19,Portuguesa,3,0,Flamengo,False,False,first
52,1997-07-19,Guarani,2,2,Corinthians,False,False,first
53,1997-07-19,Atletico/PR,4,3,Bahia,False,False,first
54,1997-07-20,Vasco,3,3,Juventude,False,False,first
55,1997-07-19,Sao Paulo,2,1,Fluminense,False,False,first
56,1997-07-20,Coritiba,3,3,Botafogo,False,False,first
57,1997-07-19,Palmeiras,4,0,America,False,False,first
58,1997-07-19,Santos,3,0,Goias,False,False,first
59,1997-07-19,Bragantino,1,0,Criciuma,False,False,first
60,1997-07-19,Uniao Sao Joao,2,2,Internacional,False,False,first
61,1997-07-19,Atletico/MG,2,1,Cruzeiro,False,False,first
62,1997-07-21,Gremio,1,1,Parana,False,False,first
63,1997-07-19,Vitoria,3,1,Sport,False,False,first
64,1997-07-23,Santos,3,0,Gremio,False,False,first
65,1997-07-26,America,0,0,Botafogo,False,False,first
66,1997-07-26,Sport,1,1,Santos,False,False,first
67,1997-07-27,Fluminense,1,1,Coritiba,False,False,first
68,1997-07-26,Flamengo,0,1,Vasco,False,False,first
69,1997-07-26,Goias,1,2,Atletico/MG,False,False,first
70,1997-07-26,Corinthians,1,0,Uniao Sao Joao,False,False,first
71,1997-07-27,Parana,0,1,Portuguesa,False,False,first
72,1997-07-26,Guarani,2,1,Bragantino,False,False,first
73,1997-07-26,Juventude,0,1,Gremio,False,False,first
74,1997-07-27,Cruzeiro,0,0,Atletico/PR,False,False,first
75,1997-07-27,Bahia,3,3,Vitoria,False,False,first
76,1997-07-30,Criciuma,2,1,Sao Paulo,False,False,first
77,1997-07-30,Vasco,2,0,Goias,False,False,first
78,1997-07-30,Sport,1,0,Flamengo,False,False,first
79,1997-07-30,Corinthians,0,0,Atletico/MG,False,False,first
80,1997-08-02,Palmeiras,3,1,Botafogo,False,False,first
81,1997-08-02,Uniao Sao Joao,1,0,Juventude,False,False,first
82,1997-08-02,Bragantino,0,1,Goias,False,False,first
83,1997-08-03,Atletico/PR,2,4,Parana,False,False,first
84,1997-08-02,Guarani,1,2,America,False,False,first
85,1997-08-03,Vasco,3,1,Fluminense,False,False,first
86,1997-08-02,Sao Paulo,1,1,Internacional,False,False,first
87,1997-08-02,Vitoria,1,0,Criciuma,False,False,first
88,1997-08-02,Gremio,2,1,Sport,False,False,first
89,1997-08-06,Vitoria,1,2,Palmeiras,False,False,first
90,1997-08-06,Portuguesa,3,2,Bahia,False,False,first
91,1997-08-09,Internacional,3,1,Vitoria,False,False,first
92,1997-08-09,Botafogo,3,1,Atletico/PR,False,False,first
93,1997-08-09,Parana,1,1,Palmeiras,False,False,first
94,1997-08-09,America,3,3,Gremio,False,False,first
95,1997-08-09,Fluminense,1,1,Portuguesa,False,False,first
96,1997-08-09,Goias,1,2,Sao Paulo,False,False,first
97,1997-08-09,Bragantino,2,1,Santos,False,False,first
