,date,home_team,home_score,away_score,away_team,neutral,knockout,stage
0,1980-02-23,Corinthians,3,2,Joinville,False,False,first
1,1980-02-24,Colorado,2,0,CRB,False,False,first
2,1980-02-24,Portuguesa-SP,1,0,Bahia,False,False,first
3,1980-02-24,Operário-MS,1,1,Cruzeiro,False,False,first
4,1980-02-24,Remo,1,3,Botafogo,False,False,first
5,1980-02-27,Botafogo,4,0,Portuguesa-SP,False,False,first
6,1980-02-27,Cruzeiro,0,0,Remo,False,False,first
7,1980-02-27,CRB,2,0,Joinville,False,False,first
8,1980-02-27,Bahia,2,3,Corinthians,False,False,first
9,1980-02-27,Colorado,2,0,Operário-MS,False,False,first
10,1980-03-01,Bahia,1,0,CRB,False,False,first
11,1980-03-01,Cruzeiro,0,0,Colorado,False,False,first
12,1980-03-02,Corinthians,2,0,Botafogo,False,False,first
13,1980-03-02,Joinville,4,1,Portuguesa-SP,False,False,first
14,1980-03-02,Operário-MS,0,1,Remo,False,False,first
15,1980-03-05,Botafogo,3,1,CRB,False,False,first
16,1980-03-05,Operário-MS,0,1,Corinthians,False,False,first
17,1980-03-05,Remo,1,1,Bahia,False,False,first
18,1980-03-05,Joinville,1,1,Colorado,False,False,first
19,1980-03-12,Portuguesa-SP,0,3,Cruzeiro,False,False,first
20,1980-03-08,Cruzeiro,2,1,Joinville,False,False,first
21,1980-03-09,Colorado,1,0,Remo,False,False,first
22,1980-03-09,CRB,1,3,Operário-MS,False,False,first
23,1980-03-09,Bahia,3,2,Botafogo,False,False,first
24,1980-03-09,Corinthians,0,0,Portuguesa-SP,False,False,first
25,1980-03-12,Joinville,3,0,Remo,False,False,first
26,1980-03-15,Botafogo,2,0,Colorado,False,False,first
27,1980-03-16,Corinthians,3,1,Cruzeiro,False,False,first
28,1980-03-16,CRB,4,1,Portuguesa-SP,False,False,first
29,1980-03-16,Operário-MS,1,0,Bahia,False,False,first
30,1980-03-19,Remo,1,0,Corinthians,False,False,first
31,1980-03-19,Botafogo,1,1,Operário-MS,False,False,first
32,1980-03-19,Bahia,0,0,Joinville,False,False,first
33,1980-03-20,Portuguesa-SP,3,1,Colorado,False,False,first
34,1980-03-20,Cruzeiro,0,0,CRB,False,False,first
35,1980-03-23,Joinville,4,0,Operário-MS,False,False,first
36,1980-03-23,Portuguesa-SP,0,1,Remo,False,False,first
37,1980-03-23,Colorado,1,0,Bahia,False,False,first
38,1980-03-23,CRB,1,2,Corinthians,False,False,first
39,1980-03-23,Cruzeiro,2,1,Botafogo,False,False,first
40,1980-03-30,Remo,1,0,CRB,False,False,first
41,1980-03-30,Operário-MS,2,1,Portuguesa-SP,False,False,first
42,1980-03-30,Bahia,3,0,Cruzeiro,False,False,first
43,1980-03-30,Corinthians,4,1,Colorado,False,False,first
44,1980-03-30,Botafogo,0,0,Joinville,False,False,first
45,1980-02-24,Palmeiras,1,1,Vitória,False,False,first
46,1980-02-24,Ceará,2,1,Flamengo-PI,False,False,first
47,1980-02-24,Desportiva,1,0,Guarani,False,False,first
48,1980-02-24,América-RN,1,0,Vila Nova,False,False,first
49,1980-02-24,Fluminense,2,3,Atlético-MG,False,False,first
50,1980-02-27,Ceará,1,1,América-RN,False,False,first
51,1980-02-27,Guarani,1,2,Fluminense,False,False,first
52,1980-02-27,Flamengo-PI,0,0,Vitória,False,False,first
53,1980-02-27,Vila Nova,1,0,Desportiva,False,False,first
54,1980-02-27,Atlético-MG,2,0,Palmeiras,False,False,first
55,1980-03-02,Palmeiras,0,0,Guarani,False,False,first
56,1980-03-02,Vitória,1,1,Fluminense,False,False,first
57,1980-03-02,Vila Nova,0,0,Ceará,False,False,first
58,1980-03-02,América-RN,1,1,Desportiva,False,False,first
59,1980-03-02,Atlético-MG,2,0,Flamengo-PI,False,False,first
60,1980-03-05,Fluminense,4,0,Vila Nova,False,False,first
61,1980-03-05,Desportiva,1,4,Atlético-MG,False,False,first
62,1980-03-05,Guarani,3,0,Flamengo-PI,False,False,first
63,1980-03-05,Vitória,0,5,Ceará,False,False,first
64,1980-03-06,Palmeiras,4,1,América-RN,False,False,first
65,1980-03-09,Atlético-MG,2,0,Guarani,False,False,first
66,1980-03-09,Flamengo-PI,3,0,América-RN,False,False,first
67,1980-03-09,Ceará,0,0,Desportiva,False,False,first
68,1980-03-09,Fluminense,0,0,Palmeiras,False,False,first
69,1980-03-15,Palmeiras,4,0,Vila Nova,False,False,first
70,1980-03-16,Guarani,1,0,Ceará,False,False,first
71,1980-03-16,Flamengo-PI,2,2,Fluminense,False,False,first
72,1980-03-16,América-RN,0,0,Atlético-MG,False,False,first
73,1980-03-16,Vitória,4,2,Desportiva,False,False,first
74,1980-03-19,Atlético-MG,5,1,Vitória,False,False,first
75,1980-03-19,Desportiva,1,0,Palmeiras,False,False,first
76,1980-03-19,Vila Nova,2,1,Flamengo-PI,False,False,first
77,1980-03-19,Fluminense,4,2,Ceará,False,False,first
78,1980-03-20,Guarani,1,1,América-RN,False,False,first
79,1980-03-22,Fluminense,3,1,Desportiva,False,False,first
80,1980-03-23,Flamengo-PI,1,4,Palmeiras,False,False,first
81,1980-03-23,Vitória,8,1,América-RN,False,False,first
82,1980-03-23,Ceará,2,1,Atlético-MG,False,False,first
83,1980-03-23,Vila Nova,1,1,Guarani,False,False,first
84,1980-03-30,Palmeiras,3,1,Ceará,False,False,first
85,1980-03-30,América-RN,0,0,Fluminense,False,False,first
86,1980-03-30,Atlético-MG,3,1,Vila Nova,False,False,first
87,1980-03-30,Guarani,2,0,Vitória,False,False,first
88,1980-03-30,Desportiva,3,1,Flamengo-PI,False,False,first
89,1980-02-23,Internacional,1,2,Itabaiana,False,False,first
90,1980-02-24,Santos,0,1,Flamengo,False,False,first
91,1980-02-24,São Paulo-RS,3,2,Botafogo-PB,False,False,first
92,1980-02-24,Náutico,0,0,Ferroviário,False,False,first
93,1980-02-24,Mixto,1,3,Ponte Preta-SP,False,False,first
94,1980-02-27,Botafogo-PB,2,1,Itabaiana,False,False,first
95,1980-02-27,Internacional,3,1,Mixto,False,False,first
96,1980-02-27,Ferroviário,1,1,Santos,False,False,first
97,1980-03-12,São Paulo-RS,1,1,Náutico,False,False,first
98,1980-03-01,Náutico,0,1,Botafogo-PB,False,False,first
99,1980-03-02,São Paulo-RS,1,1,Mixto,False,False,first
100,1980-03-02,Itabaiana,0,2,Santos,False,False,first
101,1980-03-02,Ponte Preta-SP,0,0,Ferroviário,False,False,first
102,1980-03-02,Flamengo,1,0,Internacional,False,False,first
103,1980-03-05,Santos,2,1,Ponte Preta-SP,False,False,first
104,1980-03-05,Internacional,3,2,Ferroviário,False,False,first
105,1980-03-05,Itabaiana,2,0,São Paulo-RS,False,False,first
106,1980-03-05,Mixto,3,1,Náutico,False,False,first
107,1980-03-06,Flamengo,1,2,Botafogo-PB,False,False,first
108,1980-03-08,Náutico,0,2,Internacional,False,False,first
