,date,home_team,home_score,away_score,away_team,neutral,knockout,category
0,2001-08-01,Guarani,1,3,Palmeiras,False,False,first
1,2001-08-01,Botafogo,1,1,América-MG,False,False,first
2,2001-08-01,Portuguesa-SP,0,1,Goiás,False,False,first
3,2001-08-01,Flamengo,0,0,Ponte Preta-SP,False,False,first
4,2001-08-01,Corinthians,2,0,Vitória,False,False,first
5,2001-08-01,Paraná,1,0,Cruzeiro,False,False,first
6,2001-08-01,Internacional,0,2,Juventude,False,False,first
7,2001-08-01,Sport,1,1,Fluminense,False,False,first
8,2001-08-01,Bahia,5,0,São Caetano,False,False,first
9,2001-08-01,Botafogo-SP,2,2,São Paulo,False,False,first
10,2001-08-01,Gama,0,0,Vasco da Gama,False,False,first
11,2001-08-01,Atlético-MG,1,1,Coritiba,False,False,first
12,2001-08-02,Santos,1,1,Santa Cruz,False,False,first
13,2001-08-02,Atlético-PR,2,0,Grêmio,False,False,first
14,2001-08-04,Palmeiras,2,1,Bahia,False,False,first
15,2001-08-04,Fluminense,2,0,Botafogo-SP,False,False,first
16,2001-08-04,América-MG,0,0,Portuguesa-SP,False,False,first
17,2001-08-04,Juventude,1,4,Atlético-MG,False,False,first
18,2001-08-05,Ponte Preta-SP,2,2,Corinthians,False,False,first
19,2001-08-05,Vasco da Gama,7,1,Guarani,False,False,first
20,2001-08-05,São Paulo,0,0,Gama,False,False,first
21,2001-08-05,Cruzeiro,1,2,Atlético-PR,False,False,first
22,2001-08-05,Coritiba,3,2,Internacional,False,False,first
23,2001-08-05,Grêmio,2,1,Paraná,False,False,first
24,2001-08-05,Santa Cruz,0,4,Botafogo,False,False,first
25,2001-08-05,Vitória,1,1,Santos,False,False,first
26,2001-08-05,São Caetano,2,0,Sport,False,False,first
27,2001-08-05,Goiás,2,0,Flamengo,False,False,first
28,2001-08-08,Juventude,0,0,Palmeiras,False,False,first
29,2001-08-08,Coritiba,1,0,Vasco da Gama,False,False,first
30,2001-08-08,Vitória,2,1,São Paulo,False,False,first
31,2001-08-08,Corinthians,3,2,Botafogo-SP,False,False,first
32,2001-08-08,Cruzeiro,0,0,Ponte Preta-SP,False,False,first
33,2001-08-08,Grêmio,0,0,Goiás,False,False,first
34,2001-08-08,Santa Cruz,1,2,Internacional,False,False,first
35,2001-08-08,Flamengo,0,1,Paraná,False,False,first
36,2001-08-08,Gama,1,1,Santos,False,False,first
37,2001-08-08,São Caetano,0,0,Atlético-PR,False,False,first
38,2001-08-09,Botafogo,3,2,Bahia,False,False,first
39,2001-08-09,Guarani,1,1,Fluminense,False,False,first
40,2001-08-09,Portuguesa-SP,2,1,Sport,False,False,first
41,2001-08-09,América-MG,0,1,Atlético-MG,False,False,first
42,2001-08-11,Vasco da Gama,1,1,Juventude,False,False,first
43,2001-08-11,São Paulo,3,1,Santa Cruz,False,False,first
44,2001-08-11,Atlético-PR,4,0,Flamengo,False,False,first
45,2001-08-11,Botafogo-SP,1,4,Cruzeiro,False,False,first
46,2001-08-12,Paraná,3,1,Corinthians,False,False,first
47,2001-08-12,Ponte Preta-SP,3,1,Botafogo,False,False,first
48,2001-08-12,Fluminense,1,1,Vitória,False,False,first
49,2001-08-12,Atlético-MG,3,0,Guarani,False,False,first
50,2001-08-12,Internacional,2,0,Gama,False,False,first
51,2001-08-12,Sport,2,1,Grêmio,False,False,first
52,2001-08-12,Bahia,2,1,Portuguesa-SP,False,False,first
53,2001-08-12,Goiás,0,0,São Caetano,False,False,first
54,2001-08-12,Santos,2,0,Coritiba,False,False,first
55,2001-08-12,Palmeiras,3,1,América-MG,False,False,first
56,2001-08-15,Flamengo,2,1,Sport,False,False,first
57,2001-08-15,Corinthians,0,0,Juventude,False,False,first
58,2001-08-15,Cruzeiro,0,3,América-MG,False,False,first
59,2001-08-15,Paraná,1,2,Ponte Preta-SP,False,False,first
60,2001-08-15,Santa Cruz,3,2,Palmeiras,False,False,first
61,2001-08-15,Vitória,1,0,Vasco da Gama,False,False,first
62,2001-08-15,São Caetano,1,1,Fluminense,False,False,first
63,2001-08-16,Internacional,2,0,Bahia,False,False,first
64,2001-08-16,Botafogo,0,1,Goiás,False,False,first
65,2001-08-16,Portuguesa-SP,1,0,Coritiba,False,False,first
66,2001-08-16,Atlético-PR,1,0,Atlético-MG,False,False,first
67,2001-08-16,Guarani,1,2,São Paulo,False,False,first
68,2001-08-16,Botafogo-SP,0,1,Santos,False,False,first
69,2001-08-16,Gama,2,1,Grêmio,False,False,first
70,2001-08-18,Vasco da Gama,1,1,Santa Cruz,False,False,first
71,2001-08-18,Palmeiras,3,1,Paraná,False,False,first
72,2001-08-18,América-MG,0,1,São Caetano,False,False,first
73,2001-08-19,Sport,2,1,Corinthians,False,False,first
74,2001-08-19,Bahia,0,2,Flamengo,False,False,first
75,2001-08-19,Fluminense,4,3,Gama,False,False,first
76,2001-08-19,São Paulo,2,1,Atlético-PR,False,False,first
77,2001-08-19,Atlético-MG,2,0,Botafogo-SP,False,False,first
78,2001-08-19,Coritiba,3,2,Cruzeiro,False,False,first
79,2001-08-19,Grêmio,0,0,Vitória,False,False,first
80,2001-08-19,Ponte Preta-SP,2,1,Portuguesa-SP,False,False,first
81,2001-08-19,Goiás,0,1,Internacional,False,False,first
82,2001-08-19,Santos,0,0,Botafogo,False,False,first
83,2001-08-19,Juventude,1,0,Guarani,False,False,first
84,2001-08-25,Fluminense,3,2,Santa Cruz,False,False,first
85,2001-08-25,Palmeiras,3,2,Goiás,False,False,first
86,2001-08-25,Paraná,0,1,Portuguesa-SP,False,False,first
87,2001-08-26,Bahia,1,0,Corinthians,False,False,first
88,2001-08-26,Botafogo-SP,1,0,Flamengo,False,False,first
89,2001-08-26,Vasco da Gama,4,0,Atlético-PR,False,False,first
90,2001-08-26,São Paulo,4,0,Ponte Preta-SP,False,False,first
91,2001-08-26,Atlético-MG,3,0,Vitória,False,False,first
92,2001-08-26,Coritiba,1,1,São Caetano,False,False,first
93,2001-08-26,Grêmio,3,1,América-MG,False,False,first
94,2001-08-26,Sport,0,1,Cruzeiro,False,False,first
95,2001-08-26,Guarani,2,2,Internacional,False,False,first
96,2001-08-26,Gama,0,0,Botafogo,False,False,first
97,2001-08-26,Santos,2,2,Juventude,False,False,first
98,2001-08-29,Corinthians,2,2,Gama,False,False,first
99,2001-08-29,América-MG,1,1,Vasco da Gama,False,False,first
100,2001-08-29,Atlético-PR,1,1,Santos,False,False,first
101,2001-08-29,Internacional,2,0,Botafogo-SP,False,False,first
102,2001-08-29,Santa Cruz,1,1,Atlético-MG,False,False,first
103,2001-08-29,Vitória,1,3,Palmeiras,False,False,first
104,2001-08-29,Ponte Preta-SP,3,2,Grêmio,False,False,first
105,2001-08-29,Goiás,2,0,Fluminense,False,False,first
106,2001-08-29,São Caetano,4,1,Paraná,False,False,first
107,2001-08-29,Juventude,3,3,São Paulo,False,False,first
108,2001-08-29,Botafogo,3,1,Sport,False,False,first
109,2001-08-30,Flamengo,0,1,Coritiba,False,False,first
110,2001-08-30,Portuguesa-SP,1,2,Guarani,False,False,first
111,2001-08-30,Cruzeiro,1,1,Bahia,False,False,first
112,2001-09-01,Fluminense,2,1,Juventude,False,False,first
113,2001-09-01,Palmeiras,2,0,Atlético-PR,False,False,first
114,2001-09-01,Paraná,3,0,Internacional,False,False,first
115,2001-09-01,Atlético-MG,3,0,Sport,False,False,first
116,2001-09-02,Santa Cruz,2,1,Flamengo,False,False,first
117,2001-09-02,América-MG,4,4,Corinthians,False,False,first
118,2001-09-02,Vasco da Gama,2,2,Botafogo-SP,False,False,first
119,2001-09-02,São Paulo,0,1,Bahia,False,False,first
120,2001-09-02,Coritiba,2,3,Botafogo,False,False,first
121,2001-09-02,Grêmio,1,0,Guarani,False,False,first
122,2001-09-02,Vitória,2,2,Cruzeiro,False,False,first
123,2001-09-02,Gama,0,1,Portuguesa-SP,False,False,first
124,2001-09-02,Santos,1,2,Goiás,False,False,first
125,2001-09-02,Ponte Preta-SP,3,6,São Caetano,False,False,first
126,2001-09-06,Flamengo,2,0,Santos,False,False,first
127,2001-09-06,São Caetano,1,0,Palmeiras,False,False,first
128,2001-09-08,Botafogo,0,2,Paraná,False,False,first
129,2001-09-08,Corinthians,3,2,Coritiba,False,False,first
130,2001-09-08,Cruzeiro,4,1,Santa Cruz,False,False,first
131,2001-09-09,Atlético-PR,1,2,Fluminense,False,False,first
