,date,home_team,home_score,away_score,away_team,neutral,knockout,category
117,1996-09-14,Goias,2,0,Santos,False,False,first
118,1996-09-14,Vasco da Gama,4,1,Vitoria,False,False,first
119,1996-09-14,Botafogo,0,2,Flamengo,False,False,first
120,1996-09-21,Sao Paulo,1,1,Vasco da Gama,False,False,first
121,1996-09-21,Santos,0,1,Atletico MG,False,False,first
122,1996-09-21,Flamengo,0,0,Portuguesa,False,False,first
123,1996-09-21,Fluminense,1,0,Goias,False,False,first
124,1996-09-21,Corinthians,0,1,Botafogo,False,False,first
125,1996-09-21,Bragantino,0,1,Vitoria,False,False,first
126,1996-09-21,Guarani,3,2,Criciuma,False,False,first
127,1996-09-22,Juventude,2,0,Parana,False,False,first
128,1996-09-22,Atletico PR,1,0,Coritiba,False,False,first
129,1996-09-21,Internacional,1,2,Gremio,False,False,first
130,1996-09-21,Bahia,0,0,Sport,False,False,first
131,1996-09-21,Cruzeiro,0,0,Palmeiras,False,False,first
132,1996-09-28,Atletico MG,4,1,Bahia,False,False,first
133,1996-09-29,Botafogo,5,0,Bragantino,False,False,first
134,1996-09-28,Coritiba,3,1,Fluminense,False,False,first
135,1996-09-29,Criciuma,1,2,Cruzeiro,False,False,first
136,1996-09-28,Goias,1,3,Flamengo,False,False,first
137,1996-09-28,Gremio,1,0,Portuguesa,False,False,first
138,1996-09-28,Palmeiras,2,1,Sao Paulo,False,False,first
139,1996-09-29,Parana,1,4,Atletico PR,False,False,first
140,1996-09-28,Santos,1,2,Internacional,False,False,first
141,1996-09-28,Sport,1,0,Guarani,False,False,first
142,1996-09-28,Vasco da Gama,0,0,Corinthians,False,False,first
143,1996-09-29,Vitoria,0,5,Juventude,False,False,first
144,1996-10-06,Atletico PR,3,0,Vitoria,False,False,first
145,1996-10-05,Bahia,1,1,Santos,False,False,first
146,1996-10-06,Bragantino,1,0,Parana,False,False,first
147,1996-10-06,Criciuma,0,0,Coritiba,False,False,first
148,1996-10-05,Cruzeiro,2,1,Gremio,False,False,first
149,1996-10-05,Fluminense,2,2,Atletico MG,False,False,first
150,1996-10-05,Guarani,3,1,Goias,False,False,first
151,1996-10-05,Internacional,1,1,Botafogo,False,False,first
152,1996-10-05,Portuguesa,1,3,Juventude,False,False,first
153,1996-10-05,Sport,2,1,Sao Paulo,False,False,first
154,1996-10-05,Vasco da Gama,4,1,Flamengo,False,False,first
155,1996-10-23,Palmeiras,2,2,Corinthians,False,False,first
156,1996-10-09,Gremio,3,1,Flamengo,False,False,first
157,1996-10-09,Juventude,2,1,Vasco da Gama,False,False,first
158,1996-10-09,Palmeiras,2,1,Bragantino,False,False,first
159,1996-10-10,Sao Paulo,3,3,Atletico PR,False,False,first
160,1996-10-09,Goias,2,0,Portuguesa,False,False,first
161,1996-10-09,Santos,1,2,Sport,False,False,first
162,1996-10-09,Parana,2,0,Cruzeiro,False,False,first
163,1996-10-09,Fluminense,1,1,Bahia,False,False,first
164,1996-10-09,Botafogo,1,0,Criciuma,False,False,first
165,1996-10-09,Atletico MG,1,0,Guarani,False,False,first
166,1996-10-10,Coritiba,0,1,Internacional,False,False,first
167,1996-10-09,Vitoria,2,0,Corinthians,False,False,first
168,1996-10-12,Atletico MG,2,1,Sao Paulo,False,False,first
169,1996-10-12,Atletico PR,2,0,Palmeiras,False,False,first
170,1996-10-13,Bragantino,3,1,Coritiba,False,False,first
171,1996-10-12,Corinthians,3,1,Fluminense,False,False,first
172,1996-10-12,Criciuma,1,1,Santos,False,False,first
173,1996-10-13,Flamengo,1,4,Parana,False,False,first
174,1996-10-12,Goias,6,3,Internacional,False,False,first
175,1996-10-12,Gremio,1,0,Juventude,False,False,first
176,1996-10-12,Guarani,2,0,Botafogo,False,False,first
177,1996-10-12,Portuguesa,0,0,Sport,False,False,first
178,1996-10-12,Vasco da Gama,0,1,Cruzeiro,False,False,first
179,1996-10-12,Vitoria,1,1,Bahia,False,False,first
180,1996-10-19,Santos,1,2,Flamengo,False,False,first
181,1996-10-19,Fluminense,3,2,Vasco da Gama,False,False,first
182,1996-10-19,Botafogo,2,3,Goias,False,False,first
183,1996-10-19,Palmeiras,4,2,Vitoria,False,False,first
184,1996-10-16,Criciuma,2,3,Portuguesa,False,False,first
185,1996-10-19,Cruzeiro,4,0,Bragantino,False,False,first
186,1996-10-19,Internacional,0,0,Guarani,False,False,first
187,1996-10-20,Coritiba,1,0,Parana,False,False,first
188,1996-10-20,Juventude,0,2,Atletico PR,False,False,first
189,1996-10-19,Sport,0,0,Atletico MG,False,False,first
190,1996-10-19,Bahia,1,2,Gremio,False,False,first
191,1996-10-19,Sao Paulo,0,0,Corinthians,False,False,first
192,1996-10-26,Vitoria,2,0,Sao Paulo,False,False,first
193,1996-10-26,Portuguesa,2,0,Fluminense,False,False,first
194,1996-10-26,Vasco da Gama,2,3,Coritiba,False,False,first
195,1996-10-26,Corinthians,0,0,Santos,False,False,first
