,date,home_team,home_score,away_score,away_team,neutral,knockout,category
0,1998-07-25,Vasco,0,1,Corinthians,False,False,first
1,1998-07-26,Internacional,1,0,Grêmio,False,False,first
2,1998-07-26,Portuguesa,2,1,America/MG,False,False,first
3,1998-07-26,Guarani,2,0,Ponte Preta,False,False,first
4,1998-07-26,Juventude,3,0,Paraná,False,False,first
5,1998-07-26,Atlético-PR,2,2,Coritiba,False,False,first
6,1998-07-26,Santos,2,0,Bragantino,False,False,first
7,1998-07-26,Flamengo,1,1,Botafogo,False,False,first
8,1998-07-26,Palmeiras,2,1,São Paulo,False,False,first
9,1998-07-26,Atlético-MG,1,1,Cruzeiro,False,False,first
10,1998-07-26,Vitoria,1,2,Goias,False,False,first
11,1998-07-26,America/RN,0,4,Sport,False,False,first
12,1998-07-29,Santos,1,1,Atlético-PR,False,False,first
13,1998-07-29,Atlético-MG,1,1,Guarani,False,False,first
14,1998-08-01,Coritiba,1,3,Flamengo,False,False,first
15,1998-08-01,Goias,1,1,Palmeiras,False,False,first
16,1998-08-02,Ponte Preta,0,0,Internacional,False,False,first
17,1998-08-02,Corinthians,4,0,Juventude,False,False,first
18,1998-08-02,São Paulo,2,1,Guarani,False,False,first
19,1998-08-02,Paraná,0,1,Portuguesa,False,False,first
20,1998-08-02,Bragantino,0,0,Vasco,False,False,first
21,1998-08-02,Grêmio,2,3,Atlético-MG,False,False,first
22,1998-08-02,Cruzeiro,1,2,Santos,False,False,first
23,1998-08-02,Botafogo,1,2,Vitoria,False,False,first
24,1998-08-02,Sport,2,0,Atlético-PR,False,False,first
25,1998-08-02,America/MG,2,2,America/RN,False,False,first
26,1998-08-05,Atlético-PR,0,1,Palmeiras,False,False,first
27,1998-08-05,Corinthians,2,1,Grêmio,False,False,first
28,1998-08-05,Cruzeiro,4,2,Ponte Preta,False,False,first
29,1998-08-05,Guarani,2,3,Botafogo,False,False,first
30,1998-08-05,Internacional,0,3,São Paulo,False,False,first
31,1998-08-05,Paraná,3,2,America/RN,False,False,first
32,1998-08-05,Portuguesa,1,1,Coritiba,False,False,first
33,1998-08-05,Sport,2,1,Vitoria,False,False,first
34,1998-08-05,Vasco,5,1,America/MG,False,False,first
35,1998-08-08,Coritiba,2,2,Ponte Preta,False,False,first
36,1998-08-08,Atlético-MG,1,5,Corinthians,False,False,first
37,1998-08-08,Juventude,0,0,Botafogo,False,False,first
38,1998-08-09,Flamengo,0,1,Bragantino,False,False,first
39,1998-08-09,São Paulo,0,2,Cruzeiro,False,False,first
40,1998-08-09,America/RN,2,2,Portuguesa,False,False,first
41,1998-08-09,Vitoria,1,3,Santos,False,False,first
42,1998-08-09,Guarani,1,2,America/MG,False,False,first
43,1998-08-09,Internacional,2,1,Paraná,False,False,first
44,1998-08-09,Atlético-PR,0,0,Grêmio,False,False,first
45,1998-08-09,Goias,2,0,Sport,False,False,first
46,1998-11-07,Palmeiras,2,1,Vasco,False,False,first
