date,home_team,home_score,away_score,away_team,neutral,knockout,stage
2010-05-08,Botafogo,3,3,Santos,False,False,first
2010-05-08,Atlético-GO,0,0,Grêmio,False,False,first
2010-05-08,Palmeiras,1,0,Vitória,False,False,first
2010-05-09,Flamengo,1,1,São Paulo,False,False,first
2010-05-09,Atlético-MG,2,1,Vasco da Gama,False,False,first
2010-05-09,Internacional,1,2,Cruzeiro,False,False,first
2010-05-09,Corinthians,2,1,Atlético-PR,False,False,first
2010-05-09,Ceará,1,0,Fluminense,False,False,first
2010-05-09,Guarani,1,0,Goiás,False,False,first
2010-05-09,Avaí,6,1,Prudente,False,False,first
2010-05-15,Fluminense,1,0,Atlético-GO,False,False,first
2010-05-15,Prudente,4,0,Atlético-MG,False,False,first
2010-05-15,Vitória,1,1,Flamengo,False,False,first
2010-05-16,São Paulo,1,2,Botafogo,False,False,first
2010-05-16,Grêmio,1,2,Corinthians,False,False,first
2010-05-16,Goiás,2,3,Internacional,False,False,first
2010-05-16,Santos,1,1,Ceará,False,False,first
2010-05-16,Vasco da Gama,0,0,Palmeiras,False,False,first
2010-05-16,Cruzeiro,2,2,Avaí,False,False,first
2010-05-16,Atlético-PR,2,2,Guarani,False,False,first
2010-05-22,Atlético-GO,1,2,Santos,False,False,first
2010-05-22,Palmeiras,4,2,Grêmio,False,False,first
2010-05-22,Botafogo,3,0,Goiás,False,False,first
2010-05-23,Corinthians,1,0,Fluminense,False,False,first
2010-05-23,Atlético-MG,3,1,Atlético-PR,False,False,first
2010-05-23,Internacional,0,2,São Paulo,False,False,first
2010-05-23,Ceará,1,0,Vitória,False,False,first
2010-05-23,Avaí,2,0,Vasco da Gama,False,False,first
2010-05-23,Flamengo,3,1,Prudente,False,False,first
2010-05-23,Guarani,2,2,Cruzeiro,False,False,first
2010-05-26,Vitória,4,3,Atlético-MG,False,False,first
2010-05-26,Grêmio,3,0,Avaí,False,False,first
2010-05-26,Fluminense,2,1,Flamengo,False,False,first
2010-05-26,São Paulo,1,0,Palmeiras,False,False,first
2010-05-26,Prudente,2,2,Corinthians,False,False,first
2010-05-26,Cruzeiro,1,0,Botafogo,False,False,first
2010-05-26,Santos,3,1,Guarani,False,False,first
2010-05-27,Vasco da Gama,3,2,Internacional,False,False,first
2010-05-27,Atlético-PR,2,1,Atlético-GO,False,False,first
2010-05-27,Goiás,0,0,Ceará,False,False,first
2010-05-29,Flamengo,1,1,Grêmio,False,False,first
2010-05-29,Palmeiras,0,0,Prudente,False,False,first
2010-05-29,Avaí,0,0,Vitória,False,False,first
2010-05-30,Corinthians,4,2,Santos,False,False,first
2010-05-30,Guarani,0,0,São Paulo,False,False,first
2010-05-30,Atlético-MG,1,3,Fluminense,False,False,first
2010-05-30,Internacional,4,1,Atlético-PR,False,False,first
2010-05-30,Ceará,1,0,Cruzeiro,False,False,first
2010-05-30,Atlético-GO,1,3,Goiás,False,False,first
2010-05-30,Botafogo,1,1,Vasco da Gama,False,False,first
2010-06-02,Atlético-PR,3,2,Botafogo,False,False,first
2010-06-02,Fluminense,2,1,Vitória,False,False,first
2010-06-02,Prudente,1,0,Atlético-GO,False,False,first
2010-06-02,Ceará,2,0,Avaí,False,False,first
2010-06-02,Palmeiras,0,1,Flamengo,False,False,first
2010-06-02,Goiás,2,1,São Paulo,False,False,first
2010-06-02,Cruzeiro,0,0,Santos,False,False,first
2010-06-03,Grêmio,2,1,Atlético-MG,False,False,first
2010-06-03,Vasco da Gama,0,1,Guarani,False,False,first
2010-06-03,Corinthians,2,0,Internacional,False,False,first
2010-06-05,Avaí,0,3,Fluminense,False,False,first
2010-06-05,Flamengo,1,2,Goiás,False,False,first
2010-06-05,Vitória,1,0,Atlético-PR,False,False,first
2010-06-06,São Paulo,3,1,Grêmio,False,False,first
2010-06-06,Santos,4,0,Vasco da Gama,False,False,first
2010-06-06,Botafogo,2,2,Corinthians,False,False,first
2010-06-06,Atlético-MG,0,1,Ceará,False,False,first
2010-06-06,Internacional,1,1,Palmeiras,False,False,first
2010-06-06,Guarani,1,0,Prudente,False,False,first
2010-06-06,Atlético-GO,2,1,Cruzeiro,False,False,first
2010-07-14,Grêmio,1,1,Vitória,False,False,first
2010-07-14,Atlético-PR,0,2,Cruzeiro,False,False,first
2010-07-14,São Paulo,1,2,Avaí,False,False,first
2010-07-14,Flamengo,1,0,Botafogo,False,False,first
2010-07-14,Guarani,0,3,Internacional,False,False,first
2010-07-14,Goiás,0,0,Vasco da Gama,False,False,first
2010-07-14,Ceará,0,0,Corinthians,False,False,first
