date,home_team,home_score,away_score,away_team,neutral,knockout,category
1994-08-14,Guarani,2,0,Cruzeiro,False,False,first
1994-08-17,Vasco da Gama,3,1,Guarani,False,False,first
1994-08-17,Cruzeiro,0,0,Santos,False,False,first
1994-08-17,Remo,1,1,Bahia,False,False,first
1994-08-20,Santos,2,0,Vasco da Gama,False,False,first
1994-08-21,Bahia,0,2,Guarani,False,False,first
1994-08-21,Remo,2,1,Cruzeiro,False,False,first
1994-08-24,Cruzeiro,1,1,Vasco da Gama,False,False,first
1994-08-24,Guarani,1,0,Remo,False,False,first
1994-08-24,Santos,3,0,Bahia,False,False,first
1994-08-27,Guarani,4,0,Santos,False,False,first
1994-08-28,Vasco da Gama,3,0,Remo,False,False,first
1994-08-28,Bahia,2,1,Cruzeiro,False,False,first
1994-08-31,Vasco da Gama,1,0,Cruzeiro,False,False,first
1994-08-31,Bahia,2,1,Santos,False,False,first
1994-08-31,Remo,0,2,Guarani,False,False,first
1994-09-04,Cruzeiro,2,1,Bahia,False,False,first
1994-09-04,Santos,1,0,Guarani,False,False,first
1994-09-04,Remo,0,1,Vasco da Gama,False,False,first
1994-09-07,Guarani,1,1,Bahia,False,False,first
1994-09-11,Vasco da Gama,0,0,Santos,False,False,first
1994-09-11,Cruzeiro,0,1,Remo,False,False,first
1994-09-14,Bahia,1,0,Remo,False,False,first
1994-09-17,Guarani,2,1,Vasco da Gama,False,False,first
1994-09-18,Santos,4,1,Cruzeiro,False,False,first
1994-09-25,Vasco da Gama,2,3,Bahia,False,False,first
1994-09-25,Remo,1,4,Santos,False,False,first
1994-09-25,Cruzeiro,1,2,Guarani,False,False,first
1994-08-14,Palmeiras,4,1,Paraná,False,False,first
1994-08-14,Fluminense,3,1,Náutico,False,False,first
1994-08-14,Internacional,2,0,União São João,False,False,first
1994-08-17,União São João,1,0,Fluminense,False,False,first
1994-08-17,Náutico,1,3,Palmeiras,False,False,first
1994-08-17,Paraná,1,1,Internacional,False,False,first
1994-08-21,Internacional,0,2,Palmeiras,False,False,first
1994-08-21,Fluminense,2,1,Paraná,False,False,first
1994-08-21,Náutico,0,1,União São João,False,False,first
1994-08-24,Fluminense,2,1,Internacional,False,False,first
1994-08-24,Palmeiras,5,1,União São João,False,False,first
1994-08-25,Paraná,1,1,Náutico,False,False,first
1994-08-27,Palmeiras,1,0,Fluminense,False,False,first
1994-08-28,União São João,1,2,Paraná,False,False,first
1994-08-28,Internacional,5,0,Náutico,False,False,first
1994-08-31,Internacional,3,0,Fluminense,False,False,first
1994-09-01,Náutico,0,0,Paraná,False,False,first
1994-09-07,União São João,0,1,Palmeiras,False,False,first
1994-09-03,Fluminense,1,1,Palmeiras,False,False,first
1994-09-04,Paraná,2,1,União São João,False,False,first
1994-09-07,Náutico,1,1,Internacional,False,False,first
1994-09-11,Palmeiras,1,0,Internacional,False,False,first
1994-09-11,Paraná,2,3,Fluminense,False,False,first
1994-11-15,União São João,0,0,Náutico,False,False,first
1994-09-18,Palmeiras,4,1,Náutico,False,False,first
1994-09-18,Internacional,1,3,Paraná,False,False,first
1994-09-18,Fluminense,2,2,União São João,False,False,first
1994-09-24,Paraná,2,4,Palmeiras,False,False,first
1994-09-24,Náutico,2,1,Fluminense,False,False,first
1994-09-24,União São João,3,0,Internacional,False,False,first
1994-10-01,Fluminense,1,3,Corinthians,False,False,second
