date,home_team,home_score,away_score,away_team,neutral,knockout,stage
1976-09-01,Internacional,6,0,Figueirense,False,False,first
1976-09-01,Santos,2,1,Caxias,False,False,first
1976-09-01,Rio Branco-ES,1,4,Grêmio,False,False,first
1976-09-04,Grêmio,1,0,Caxias,False,False,first
1976-09-04,Desportiva,0,1,Palmeiras,False,False,first
1976-09-04,Figueirense,1,4,Santos,False,False,first
1976-09-07,Palmeiras,0,1,Santos,False,False,first
1976-09-07,Internacional,3,1,Grêmio,False,False,first
1976-09-07,Desportiva,2,1,Rio Branco-ES,False,False,first
1976-09-08,Figueirense,1,0,Avaí,False,False,first
1976-09-11,Palmeiras,4,0,Figueirense,False,False,first
1976-09-12,Grêmio,0,0,Santos,False,False,first
1976-09-12,Caxias,2,1,Internacional,False,False,first
1976-09-12,Desportiva,0,3,Avaí,False,False,first
1976-09-15,Rio Branco-ES,0,0,Figueirense,False,False,first
1976-09-15,Caxias,0,0,Palmeiras,False,False,first
1976-09-15,Santos,0,0,Avaí,False,False,first
1976-09-18,Desportiva,1,0,Figueirense,False,False,first
1976-09-19,Avaí,0,4,Internacional,False,False,first
1976-09-19,Rio Branco-ES,0,1,Santos,False,False,first
1976-09-19,Palmeiras,0,0,Grêmio,False,False,first
1976-09-22,Palmeiras,1,0,Rio Branco-ES,False,False,first
1976-09-22,Desportiva,1,4,Internacional,False,False,first
1976-09-22,Caxias,1,0,Avaí,False,False,first
1976-09-23,Figueirense,0,2,Grêmio,False,False,first
1976-09-25,Avaí,2,1,Rio Branco-ES,False,False,first
1976-09-26,Grêmio,3,1,Desportiva,False,False,first
1976-09-26,Santos,1,3,Internacional,False,False,first
1976-09-26,Figueirense,1,0,Caxias,False,False,first
1976-09-29,Internacional,3,0,Rio Branco-ES,False,False,first
1976-09-29,Avaí,0,1,Palmeiras,False,False,first
1976-09-29,Caxias,2,0,Desportiva,False,False,first
1976-10-02,Rio Branco-ES,0,2,Caxias,False,False,first
1976-10-03,Santos,0,0,Desportiva,False,False,first
1976-10-03,Avaí,0,3,Grêmio,False,False,first
1976-10-03,Internacional,1,0,Palmeiras,False,False,first
1976-08-29,Coritiba,0,2,São Paulo,False,False,first
1976-08-29,Londrina,0,3,Atlético-PR,False,False,first
1976-08-29,Confiança,2,1,Portuguesa-SP,False,False,first
1976-09-01,Londrina,0,0,São Paulo,False,False,first
1976-09-01,Uberaba,0,0,Atlético-PR,False,False,first
1976-09-04,São Paulo,0,0,Portuguesa-SP,False,False,first
1976-09-04,Cruzeiro,0,0,Botafogo-SP,False,False,first
1976-09-05,Confiança,1,0,Londrina,False,False,first
1976-09-07,Uberaba,0,1,Botafogo-SP,False,False,first
1976-09-07,Cruzeiro,2,1,Portuguesa-SP,False,False,first
1976-09-08,Coritiba,2,1,Atlético-PR,False,False,first
1976-09-08,Confiança,1,1,São Paulo,False,False,first
1976-09-12,Botafogo-SP,2,0,São Paulo,False,False,first
1976-09-12,Atlético-PR,1,1,Cruzeiro,False,False,first
1976-09-12,Uberaba,1,0,Portuguesa-SP,False,False,first
1976-09-15,São Paulo,0,2,Atlético-PR,False,False,first
1976-09-15,Confiança,1,1,Coritiba,False,False,first
1976-09-16,Londrina,1,1,Cruzeiro,False,False,first
1976-09-18,São Paulo,4,0,Uberaba,False,False,first
1976-09-19,Londrina,1,0,Botafogo-SP,False,False,first
1976-09-19,Cruzeiro,2,1,Coritiba,False,False,first
1976-09-19,Atlético-PR,0,0,Portuguesa-SP,False,False,first
1976-09-22,Atlético-PR,1,0,Confiança,False,False,first
1976-09-23,Coritiba,1,0,Uberaba,False,False,first
1976-09-23,Portuguesa-SP,3,1,Botafogo-SP,False,False,first
1976-09-25,Botafogo-SP,3,0,Confiança,False,False,first
1976-09-26,Uberaba,1,1,Cruzeiro,False,False,first
1976-09-26,Coritiba,1,0,Londrina,False,False,first
1976-09-29,Botafogo-SP,1,0,Atlético-PR,False,False,first
1976-09-29,Cruzeiro,2,0,Confiança,False,False,first
1976-09-29,Uberaba,1,2,Londrina,False,False,first
1976-09-29,Portuguesa-SP,0,2,Coritiba,False,False,first
1976-10-02,Portuguesa-SP,1,1,Londrina,False,False,first
1976-10-03,Botafogo-SP,1,1,Coritiba,False,False,first
1976-10-03,São Paulo,1,0,Cruzeiro,False,False,first
1976-10-03,Confiança,1,1,Uberaba,False,False,first
